"abbreviation" "locality" "genus" "species" "replicate" "sex" "preservation" "source" "sgMax" "sgfwhm" "error"
"101" "K_SPU" "PR_USA" "Kornickeria" "Kornickeria_SPU" "SPU2" "male" "live" "ucsb" 458.28178 76.87406 0.0046
"102" "K_SPU" "PR_USA" "Kornickeria" "Kornickeria_SPU" "SPU3" "male" "live" "ucsb" 461.57267 78.5384 0.0068
"103" "K_SPU" "PR_USA" "Kornickeria" "Kornickeria_SPU" "SPU4" "male" "live" "ucsb" 454.99262 73.56029 0.066
"104" "K_SPU" "PR_USA" "Kornickeria" "Kornickeria_SPU" "SPU5" "male" "live" "ucsb" 460.47552 81.84792 0.0828
"105" "K_SPU" "PR_USA" "Kornickeria" "Kornickeria_SPU" "SPU6" "male" "live" "ucsb" 461.02407 77.97226 0.0063
"106" "K_SPU" "PR_USA" "Kornickeria" "Kornickeria_SPU" "SPU7" "male" "live" "ucsb" 451.15742 71.31489 0.1284
"107" "V_hil" "Japan" "Vargula" "Vargula_hilgendorfii" "Vhil0123171" "unknown" "dried" "ucsb" 460.47552 76.88073 0.0068
"108" "V_hil" "Japan" "Vargula" "Vargula_hilgendorfii" "Vhil0123172" "unknown" "dried" "ucsb" 459.37856 77.97903 0.0043
"109" "V_hil" "Japan" "Vargula" "Vargula_hilgendorfii" "Vhil0123173" "unknown" "dried" "ucsb" 459.37856 74.67765 0.0414
"110" "V_hil" "Japan" "Vargula" "Vargula_hilgendorfii" "Vhil0907161" "unknown" "dried" "ucsb" 459.65614 80.86813 0.0313
"111" "V_hil" "Japan" "Vargula" "Vargula_hilgendorfii" "Vhil0907162" "unknown" "dried" "ucsb" 460.21002 77.54448 0.062
"112" "V_hil" "Japan" "Vargula" "Vargula_hilgendorfii" "Vhil0907163" "unknown" "dried" "ucsb" 460.21002 80.86803 0.0324
"113" "V_hil" "Japan" "Vargula" "Vargula_hilgendorfii" "Vhil0907164" "unknown" "dried" "ucsb" 456.33288 78.09832 0.0177
"114" "V_hil" "Japan" "Vargula" "Vargula_hilgendorfii" "Vhil0907165" "unknown" "dried" "ucsb" 456.33288 76.99044 0.0113
"115" "V_hil" "Japan" "Vargula" "Vargula_hilgendorfii" "Vhil0907166" "unknown" "dried" "ucsb" 460.7639 79.76014 0.036
"116" "V_hil" "Japan" "Vargula" "Vargula_hilgendorfii" "Vhil100520161" "unknown" "dried" "ucsb" 458.28178 81.84792 0.0056
"117" "V_hil" "Japan" "Vargula" "Vargula_hilgendorfii" "Vhil0920161" "unknown" "dried" "ucsb" 465.19496 73.11365 0.024
"118" "V_hil" "Japan" "Vargula" "Vargula_hilgendorfii" "Vhil0920162" "unknown" "dried" "ucsb" 465.19496 72.0054 0.0233
"119" "V_hil" "Japan" "Vargula" "Vargula_hilgendorfii" "Vhil0920163" "unknown" "dried" "ucsb" 461.31778 72.0055 0.0256
"120" "V_hil" "Japan" "Vargula" "Vargula_hilgendorfii" "Vhil_Japan" "unknown" "live" "Japan" 461.135 77.867 0.0023
"121" "P_gra_p" "Published" "Photeros" "Photeros_gramminicola" "Pgra_huvard" "unknown" "unknown" "published" 471.1371438 78.5805328 0.3246
"122" "V_hil_p" "Published" "Vargula" "Vargula_hilgendorfii" "Vhil_tsuji" "unknown" "unknown" "published" 460.5368249 83.1116259 0.3294
"123" "C_noc_p" "Published" "Cypridina" "Cypridina_noctiluca" "Cnoc_ohmiya" "unknown" "unknown" "published" 454.27 79.17 0.0646
